"","species","chemical","formula","iupac"
"116","Abies balsamea","dehydroabietic acid","C20H28O2","(1S,4aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"117","Abies balsamea","dehydroabietic acid","C20H28O2","(1S,4aS,10aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"118","Abies balsamea","dehydroabietic acid","C20H28O2","(1R,4aR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"119","Abies balsamea","dehydroabietic acid","C20H28O2","(1S,4aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"120","Abies balsamea","dehydroabietic acid","C20H28O2","(1R,4aS)-10,10-dideuterio-1,4a-dimethyl-7-propan-2-yl-3,4,9,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid"
"121","Abies balsamea","dehydroabietic acid","C20H28O2","(1R,4aR,10aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"122","Abies balsamea","dehydroabietic acid","C20H27O2-","(1R,4aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylate"
"123","Abies balsamea","dehydroabietic acid","C40H56O4","(1S,4aR,10aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"124","Abies balsamea","abietic acid","C20H30O2","(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"125","Abies balsamea","abietic acid","C20H30O2","1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"126","Abies balsamea","abietic acid","C20H30O2","(1R,4aR,4bR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"127","Abies balsamea","abietic acid","C20H30O2","(1S,4aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"128","Abies balsamea","abietic acid","C20H30O2","(1R,4aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"129","Abies balsamea","abietic acid","C20H29O2-","(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate"
"130","Abies balsamea","abietic acid","C40H58O4Sr","strontium;1,4a-dimethyl-7-propan-2-yl-2,3,4,5,6,9,10,10a-octahydrophenanthrene-1-carboxylate"
"131","Abies balsamea","abietic acid","C20H30O2","(1S,4aR,4bS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"132","Abies balsamea","abietic acid","C20H30O2","(1R)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid"
"133","Abies balsamea","squalene","C30H50","(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene"
"134","Abies balsamea","squalene","C30H50","2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene"
"135","Abies balsamea","squalene","C30H50","(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene"
"136","Abies balsamea","squalene","C30H50","(14E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene"
"137","Abies balsamea","squalene","C30H50","(14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene"
